Head, Cabeça
Hair, Cabelo
Face, Rosto
Eye, Olho
Ear, Orelha
Nose, Nariz
Mouth, Boca
Lips, Lábios
Teeth, Dentes
Tooth, Dente
Tongue, Língua
Chin, Queixo
Cheek, Bochecha
Neck, Pescoço
Shoulder, Ombro
Arm, Braço
Elbow, Cotovelo
Forearm, Antebraço
Wrist, Pulso
Hand, Mão
Finger, Dedo
Thumb, Polegar
Index finger, Dedo indicador
Middle finger, Dedo médio
Ring finger, Dedo anelar
Little finger, Dedo mínimo
Back, Costas
Chest, Peito
Stomach, Estômago
Belly button/Navel, Umbigo
Waist, Cintura
Hip, Quadril
Buttocks, Nádegas
Leg, Perna
Thigh, Coxa
Knee, Joelho
Calf, Panturrilha
Ankle, Tornozelo
Foot, Pé
Toe, Dedo do pé
Heel, Calcanhar
