Shirt, Camisa
Pants/Trousers, Calças
Dress, Vestido
Skirt, Saia
Blouse, Blusa
T-shirt, Camiseta
Sweater, Suéter
Jacket, Jaqueta/Casaco
Coat, Sobretudo
Suit, Terno
Tie, Gravata
Scarf, Cachecol
Hat, Chapéu
Cap, Boné
Gloves, Luvas
Socks, Meias
Shoes, Sapatos
Boots, Botas
Sandals, Sandálias
Slippers, Chinelos/Pantufas
Belt, Cinto
Tights, Meia-calça
Underwear, Roupa íntima
Bra, Sutiã
Panties/Knickers, Calcinha
Boxers/Briefs, Cueca
Swimsuit, Maiô
Sunglasses, Óculos de sol
Watch, Relógio
Jewelry, Joias
Necklace, Colar
Bracelet, Pulseira
Earrings, Brincos
Ring, Anel
