Cutting board,Placa de corte
Knife,Faca
Saucepan,Panela
Frying pan,Frigideira
Pot,Panela (genérico)
Oven,Forno
Microwave,Microondas
Blender,Liquidificador
Toaster,Torradeira
Spatula,Espátula
Mixing bowl,Tigela de mistura
Measuring cup,Xícara de medição
Measuring spoon/teaspoon/ tablespoon,Colher de medição/colher de chá/colher de sopa
Grater/Rasp,Ralador
Peeler,Descascador
Strainer,Peneira/Coador
Whisk,Batedor/Fouet
Tongs,Pegador de alimentos/Pinça
Rolling pin,Rolo de massa
Cutting knife,Faca de cozinha
Can opener,Abridor de lata
Corkscrew/Screw-puller,Abridor de garrafas/tampas
Bottle opener,Abridor de garrafas
Kitchen shears/Tin snips,Tesoura de cozinha
Oven mitts/Loven gloves/Loven cloth,Luvas de forno/Pegador de panelas
Spoon,Colher
Plate/ Dish,Prato
Fork,Garfo
