to be,"Passado simples: was/were
Participio do passado: Been
Significado: ser/estar"
to bring,"Passado simples: brought
Participio do passado: brought
Significado: trazer"
to buy,"Passado simples: bought
Participio do passado: bought
Significado: comprar"
to catch,"Passado simples: caught
Participio do passado: caught
Significado: pegar"
to come,"Passado simples: came
Participio do passado: come
Significado: vir"
to cut,"Passado simples: cut
Participio do passado: cut
Significado: cortar"
to do,"Passado simples: did
Participio do passado: done
Significado: fazer"
to drink,"Passado simples: drank
Participio do passado: drunk
Significado: beber"
to eat,"Passado simples: ate
Participio do passado: eaten
Significado: comer"
to fall,"Passado simples: fell
Participio do passado: fallen
Significado: cair"
to feel,"Passado simples: felt
Participio do passado: felt
Significado: sentir"
to find,"Passado simples: found
Participio do passado: found
Significado: encontrar"
to get,"Passado simples: got
Participio do passado: got/gotten
Significado: obter/pegar"
to give,"Passado simples: gave
Participio do passado: given
Significado: dar"
to go,"Passado simples: went
Participio do passado: gone
Significado: ir"
to have,"Passado simples: had
Participio do passado: had
Significado: ter"
to hear,"Passado simples: heard
Participio do passado: heard
Significado: ouvir"
to know,"Passado simples: knew
Participio do passado: known
Significado: saber/conhecer"
to learn,"Passado simples: learned/learnt
Participio do passado: learned/learnt
Significado: aprender"
to leave,"Passado simples: left
Participio do passado: left
Significado: sair/deixar"
to make,"Passado simples: made
Participio do passado: made
Significado: fazer"
to put,"Passado simples: put
Participio do passado: put
Significado: colocar"
to read,"Passado simples: read
Participio do passado: read
Significado: ler"
to say,"Passado simples: said
Participio do passado: said
Significado: dizer"
to see,"Passado simples: saw
Participio do passado: seen
Significado: ver"
to sell,"Passado simples: sold
Participio do passado: sold
Significado: vender"
to sit,"Passado simples: sat
Participio do passado: sat
Significado: sentar"
to sleep,"Passado simples: slept
Participio do passado: slept
Significado: dormir"
to stand,"Passado simples:
