to arise,"Passado simples: arose
Participio do passado: arisen
Significado: surgir"
to beat,"Passado simples: beat
Participio do passado: beaten
Significado: bater"
to become,"Passado simples: became
Participio do passado: become
Significado: tornar-se"
to bend,"Passado simples: bent
Participio do passado: bent
Significado: curvar/inclinar"
to build,"Passado simples: built
Participio do passado: built
Significado: construir"
to burst,"Passado simples: burst
Participio do passado: burst
Significado: explodir"
to cast,"Passado simples: cast
Participio do passado: cast
Significado: lançar/jogar"
to choose,"Passado simples: chose
Participio do passado: chosen
Significado: escolher"
to cling,"Passado simples: clung
Participio do passado: clung
Significado: agarrar-se/aderir"
to deal,"Passado simples: dealt
Participio do passado: dealt
Significado: lidar/tratar"
to dig,"Passado simples: dug
Participio do passado: dug
Significado: cavar"
to drive,"Passado simples: drove
Participio do passado: driven
Significado: dirigir"
to feed,"Passado simples: fed
Participio do passado: fed
Significado: alimentar"
to flee,"Passado simples: fled
Participio do passado: fled
Significado: fugir"
to fly,"Passado simples: flew
Participio do passado: flown
Significado: voar"
to forbid,"Passado simples: forbade
Participio do passado: forbidden
Significado: proibir"
to forget,"Passado simples: forgot
nParticipio do passado: forgotten
Significado: esquecer"
to forgive,"Passado simples: forgave
Participio do passado: forgiven
Significado: perdoar"
to freeze,"Passado simples: froze
Participio do passado: frozen
Significado: congelar"
to hang,"Passado simples: hung
Participio do passado: hung
Significado: pendurar"
to hide,"Passado simples: hid
Participio do passado: hidden
Significado: esconder"
to hit,"Passado simples: hit
Participio do passado: hit
Significado: bater"
to hold,"Passado simples: held
Participio do passado: held
Significado: segurar"
to keep,"Passado simples: kept
Participio do passado: kept
Significado: manter"
to lose,"Passado simples: lost
Participio do passado: lost
Significado: perder"
to mean,"Passado simples: meant
Participio do passado: meant
Significado: significar"
to meet,"Passado simples: met
Participio do passado: met
Significado: encontrar/conhecer"
to pay,"Passado simples: paid
Participio do passado: paid
Significado: pagar"
to quit,"Passado simples: quit
Participio do passado: quit
Significado: desistir/sair"
to read,"Passado simples: read
Participio do passado: read
Significado: ler"
to ride,"Passado simples: rode
Participio do passado: ridden
Significado: andar/montar"
to rise,"Passado simples: rose
Participio do passado: risen
Significado: subir"
to run,"Passado simples: ran
Participio do passado: run
Significado: correr"
to set,"Passado simples: set
Participio do passado: set
Significado: colocar/definir"
to shake,"Passado simples: shook
Participio do passado: shaken
Significado: sacudir"
to shine,"Passado simples: shone
Participio do passado: shone
Significado: brilhar"
to show,"Passado simples: showed
Participio do passado: shown
Significado: mostrar"
to sing,"Passado simples: sang
Participio do passado: sung
Significado: cantar"
to sink,"Passado simples: sank
Participio do passado: sunk
Significado: afundar"
to sit,"Passado simples: sat
Participio do passado: sat
Significado: sentar"
to sleep,"Passado simples: slept
Participio do passado: slept
Significado: dormir"
to spend,"Passado simples: spent
Participio do passado: spent
Significado: gastar/passar"
to spread,"Passado simples: spread
Participio do passado: spread
Significado: espalhar"
to stand,"Passado simples: stood
Participio do passado: stood
Significado: ficar/estar de pé"
to stick,"Passado simples: stuck
Participio do passado: stuck
Significado: grudar"
to stink,"Passado simples: stank
Participio do passado: stunk
Significado: feder"
to strike,"Passado simples: struck
Participio do passado: struck
Significado: golpear"
to swim,"Passado simples: swam
Participio do passado: swum
Significado: nadar"
to tear,"Passado simples: tore
Participio do passado: torn
Significado: rasgar"
to throw,"Passado simples: threw
Participio do passado: thrown
Significado: jogar/lançar"
to thrust,"Passado simples: thrust
Participio do passado: thrust
Significado: empurrar"
to tread,"Passado simples: trod
Participio do passado: trodden
Significado: pisar"
to understand,"Passado simples: understood
Participio do passado: understood
Significado: entender/compreender"
to wake,"Passado simples: woke
Participio do passado: woken
Significado: acordar"
to wear,"Passado simples: wore
Participio do passado: worn
Significado: vestir/usar"
to weave,"Passado simples: wove
Participio do passado: woven
Significado: tecer"
to weep,"Passado simples: wept
Participio do passado: wept
Significado: chorar"
to wet,"Passado simples: wet
Participio do passado: wet
Significado: molhar"
to win,"Passado simples: won
Participio do passado: won
Significado: ganhar"
